participant_id,age_group,identity_code,cultural_background,upbringing_influence,focus_intensity,consistency_score,external_guidance_usage,support_environment_score,hobby_engagement_level,physical_activity_index,creative_expression_index,altruism_score,personality_cluster
643,18,1,0,4,18.11887936,24,1,0,1,1,0,0,Cluster_E
1753,16,1,3,2,2.469271475,19,0,1,0,0,0,1,Cluster_E
1402,17,0,2,3,3.456401029,25,0,0,0,0,0,0,Cluster_E
2033,17,1,0,1,15.83813077,25,1,2,0,0,0,0,Cluster_E
991,16,0,0,0,1.045373351,19,1,2,0,0,1,0,Cluster_E
1456,15,1,1,3,4.429870977,5,1,3,1,1,0,1,Cluster_B
276,18,1,1,1,8.742962101,9,0,2,1,0,0,1,Cluster_C
787,17,0,2,4,2.579578159,21,1,3,1,0,1,1,Cluster_E
1538,16,1,0,2,8.531838021,16,1,2,0,0,0,1,Cluster_E
361,18,0,0,2,15.78081208,18,0,4,1,0,0,0,Cluster_D
2222,17,0,0,1,9.211320151,19,1,4,0,1,1,1,Cluster_B
555,15,0,1,3,10.54912927,4,1,1,0,1,0,0,Cluster_B
942,15,1,0,2,4.843668912,21,0,2,0,0,0,0,Cluster_E
669,15,1,0,1,16.41471682,12,0,3,1,1,0,0,Cluster_C
458,18,1,0,2,19.67194599,9,0,2,0,0,0,0,Cluster_C
2298,17,1,3,2,4.13972606,10,0,4,1,0,0,0,Cluster_D
1504,17,1,2,2,2.87668942,6,0,2,0,0,0,0,Cluster_D
1422,15,0,1,3,6.955401952,12,0,3,1,1,0,0,Cluster_C
846,15,0,3,0,16.83617418,10,0,3,0,0,0,0,Cluster_D
1458,18,0,0,0,8.184991476,19,0,2,0,0,0,1,Cluster_E
644,15,0,0,1,11.3361221,21,1,2,1,0,0,0,Cluster_E
287,15,0,0,2,18.27629045,12,1,1,0,0,0,0,Cluster_E
1925,16,0,2,2,11.52811103,9,0,2,0,1,0,0,Cluster_D
407,16,0,3,1,0.025688511,3,0,4,1,0,0,0,Cluster_C
870,16,1,1,1,2.015056879,11,0,2,0,0,0,0,Cluster_E
164,18,1,3,2,10.67233863,7,0,3,1,0,0,0,Cluster_C
1959,15,1,2,2,15.5321368,29,0,1,0,1,0,0,Cluster_E
1620,15,0,0,3,8.070972416,29,1,3,1,1,0,0,Cluster_E
424,17,1,2,2,5.621477709,0,1,4,0,0,1,0,Cluster_A
1633,18,1,1,1,0.810183459,3,0,3,0,1,1,0,Cluster_B
1107,15,1,0,2,17.47111152,7,0,2,0,1,0,0,Cluster_B
1720,15,1,1,0,2.800896243,21,1,4,0,1,0,1,Cluster_E
678,18,1,1,1,5.915056692,2,1,3,0,0,0,0,Cluster_B
66,16,0,1,1,18.11164275,6,1,3,1,0,0,0,Cluster_B
2251,15,0,2,2,5.708105806,13,1,2,0,1,0,0,Cluster_C
2282,17,1,0,2,17.42543702,29,0,2,0,0,0,0,Cluster_A
2382,15,0,2,0,10.09508647,5,0,3,0,0,0,0,Cluster_A
1488,15,0,0,3,9.959526052,27,1,3,0,0,0,1,Cluster_E
231,16,1,0,1,13.39222513,25,0,2,0,0,0,0,Cluster_E
1420,15,0,0,2,10.85682749,0,0,3,1,0,1,0,Cluster_A
2234,17,1,1,0,10.16811953,15,0,3,0,0,1,0,Cluster_D
1853,16,1,0,3,19.93981006,8,0,1,0,1,0,1,Cluster_D
1188,15,0,0,1,9.067412112,20,0,2,1,1,1,0,Cluster_E
621,18,0,0,1,18.7370686,15,0,1,1,1,0,0,Cluster_D
927,15,0,2,1,7.777029929,18,0,1,0,1,0,0,Cluster_E
375,15,1,1,2,18.91347074,22,1,2,1,0,0,0,Cluster_E
1352,18,0,0,1,15.62712437,14,1,1,1,0,0,1,Cluster_E
1378,15,1,0,1,8.263889576,2,0,1,1,0,0,0,Cluster_C
1001,16,1,2,0,4.720158606,16,1,3,1,0,1,0,Cluster_E
298,17,1,0,1,10.254998,11,1,3,0,0,0,0,Cluster_E
2077,18,0,3,0,4.970714879,6,0,4,0,0,0,0,Cluster_C
100,15,0,0,1,17.50017399,24,0,2,0,0,0,0,Cluster_E
1113,18,0,2,3,1.490209236,15,0,2,1,0,1,0,Cluster_E
875,16,1,0,4,2.546237575,16,0,2,0,1,1,0,Cluster_E
530,16,1,2,4,0.621137521,16,1,4,0,0,0,0,Cluster_E
2304,15,0,2,2,2.119118227,13,1,3,1,0,0,0,Cluster_A
1092,17,0,3,1,7.301878405,17,0,3,0,0,0,0,Cluster_E
2105,18,0,0,1,8.359390872,24,0,3,0,0,0,0,Cluster_E
186,15,0,1,2,9.076931276,26,1,3,1,0,0,0,Cluster_E
1825,15,1,0,3,18.27156023,5,0,3,0,0,1,1,Cluster_C
768,18,0,0,1,3.278405241,1,0,0,0,1,0,0,Cluster_C
1238,18,1,1,3,9.043658787,23,0,4,1,1,0,0,Cluster_E
